output,model,R2,RMSE,chosen
RawMill_I_B_MW,ann,0.6052199717201018,2.961599626579646,False
RawMill_I_B_MW,rf,0.9223963482292556,1.3130759254301327,True
RawMill_I_B_MW,hybrid,0.9223963482292556,1.3130759254301327,True
RawMill_eps,ann,0.42433683055465765,0.01468830660169922,False
RawMill_eps,rf,0.8846315938062063,0.006575532877731141,True
RawMill_eps,hybrid,0.8846315938062063,0.006575532877731141,True
RawMill_IP_MW,ann,0.5908081686180515,2.8351939254763145,False
RawMill_IP_MW,rf,0.9119772713180736,1.3149726066357965,True
RawMill_IP_MW,hybrid,0.9119772713180736,1.3149726066357965,True
CoalMill_I_B_MW,ann,0.7942331141924284,0.3208385007462567,False
CoalMill_I_B_MW,rf,0.9345010835979172,0.18101551217799827,True
CoalMill_I_B_MW,hybrid,0.9345010835979172,0.18101551217799827,True
CoalMill_eps,ann,0.7929406899354623,0.007360133736217401,False
CoalMill_eps,rf,0.9214951708852079,0.004531964619241849,True
CoalMill_eps,hybrid,0.9214951708852079,0.004531964619241849,True
CoalMill_IP_MW,ann,0.7801601388407797,0.33380946251214183,False
CoalMill_IP_MW,rf,0.930248648713494,0.1880276575869631,True
CoalMill_IP_MW,hybrid,0.930248648713494,0.1880276575869631,True
Preheater_I_B_MW,ann,0.7592359382151936,0.7776582461520197,True
Preheater_I_B_MW,rf,0.53465776687201,1.0811331540799032,False
Preheater_I_B_MW,hybrid,0.7592359382151936,0.7776582461520197,True
Preheater_eps,ann,0.940885935795134,0.012714507711392731,True
Preheater_eps,rf,0.8822238902463545,0.01794662311639881,False
Preheater_eps,hybrid,0.940885935795134,0.012714507711392731,True
Preheater_IP_MW,ann,0.8775956836069345,0.4999620590942302,True
Preheater_IP_MW,rf,0.6590689512035373,0.8343955108895903,False
Preheater_IP_MW,hybrid,0.8775956836069345,0.4999620590942302,True
Calciner_I_B_MW,ann,0.9568700274486603,0.5975933421802657,True
Calciner_I_B_MW,rf,0.9030794717662438,0.8958267893002175,False
Calciner_I_B_MW,hybrid,0.9568700274486603,0.5975933421802657,True
Calciner_eps,ann,0.9453485350823934,0.01993521896137841,True
Calciner_eps,rf,0.7466553428331667,0.042921607744647976,False
Calciner_eps,hybrid,0.9453485350823934,0.01993521896137841,True
Calciner_IP_MW,ann,0.9669619060213807,0.6075975497905032,True
Calciner_IP_MW,rf,0.7597294684615727,1.6385465213695285,False
Calciner_IP_MW,hybrid,0.9669619060213807,0.6075975497905032,True
Kiln_I_B_MW,ann,0.9573742960354965,0.35076240051344976,True
Kiln_I_B_MW,rf,0.7695642037475172,0.8155530633840523,False
Kiln_I_B_MW,hybrid,0.9573742960354965,0.35076240051344976,True
Kiln_eps,ann,0.9621547799018065,0.0036772807132346803,True
Kiln_eps,rf,0.8917614143999536,0.006218882059571702,False
Kiln_eps,hybrid,0.9621547799018065,0.0036772807132346803,True
Kiln_IP_MW,ann,0.9609651409543032,0.2724486400110555,True
Kiln_IP_MW,rf,0.8008194494778851,0.6154344469649685,False
Kiln_IP_MW,hybrid,0.9609651409543032,0.2724486400110555,True
ClinkerCooler_I_B_MW,ann,0.9669617953848703,0.24620803037919373,True
ClinkerCooler_I_B_MW,rf,0.7949319537334374,0.6133988981211025,False
ClinkerCooler_I_B_MW,hybrid,0.9669617953848703,0.24620803037919373,True
ClinkerCooler_eps,ann,0.9558225522378367,0.003694352925992678,True
ClinkerCooler_eps,rf,0.8815654760986187,0.006048911493343618,False
ClinkerCooler_eps,hybrid,0.9558225522378367,0.003694352925992678,True
ClinkerCooler_IP_MW,ann,0.9352295239400157,0.11217064220389053,True
ClinkerCooler_IP_MW,rf,0.6954343095407611,0.24323784712221228,False
ClinkerCooler_IP_MW,hybrid,0.9352295239400157,0.11217064220389053,True
clinker_ex_MW,ann,0.9654334462856939,0.7081068068077219,False
clinker_ex_MW,rf,0.9998873608670744,0.04042177471102731,True
clinker_ex_MW,hybrid,0.9998873608670744,0.04042177471102731,True
plant_spec_I_MJkg,ann,0.8169717806152547,0.04982856689066133,True
plant_spec_I_MJkg,rf,0.7804105380440531,0.0545789424968233,False
plant_spec_I_MJkg,hybrid,0.8169717806152547,0.04982856689066133,True
plant_eps,ann,0.957761336791609,0.0066796689134756585,False
plant_eps,rf,0.9826779390108749,0.004277594728018135,True
plant_eps,hybrid,0.9826779390108749,0.004277594728018135,True
